region,month,count
Northeast,2022-03,34
Northeast,2022-04,36
Northeast,2022-05,20
Northeast,2022-06,20
Northeast,2022-07,26
Northeast,2022-08,39
Northeast,2022-09,33
Northeast,2022-10,28
Northeast,2022-11,17
Northeast,2022-12,18
Northeast,2023-01,16
Northeast,2023-02,16
Northeast,2023-03,13
Northeast,2023-04,13
Northeast,2023-05,10
Northeast,2023-06,9
Northeast,2023-07,26
Northeast,2023-08,28
Northeast,2023-09,22
Northeast,2023-10,25
Northeast,2023-11,13
Northeast,2023-12,12
Northeast,2024-01,19
Northeast,2024-02,13
Northeast,2024-03,20
Northeast,2024-04,6
South,2012-03,64
South,2012-04,37
South,2012-05,22
South,2012-06,85
South,2012-07,29
South,2012-08,25
South,2012-09,21
South,2012-10,37
South,2012-11,23
South,2012-12,30
South,2013-01,44
South,2013-02,33
South,2013-03,27
South,2013-04,32
South,2013-05,30
South,2013-06,25
South,2013-07,40
South,2013-08,40
South,2013-09,34
South,2013-10,54
South,2013-11,44
South,2013-12,40
South,2014-01,51
South,2014-02,54
South,2014-03,50
South,2014-04,62
South,2014-05,53
South,2014-06,73
South,2014-07,51
South,2014-08,54
South,2014-09,36
South,2014-10,58
South,2014-11,51
South,2014-12,53
South,2015-01,58
South,2015-02,35
South,2015-03,50
South,2015-04,58
South,2015-05,51
South,2015-06,51
South,2015-07,70
South,2015-08,42
South,2015-09,56
South,2015-10,50
South,2015-11,35
South,2015-12,38
South,2016-01,55
South,2016-02,64
South,2016-03,121
South,2016-04,99
South,2016-05,97
South,2016-06,76
South,2016-07,95
South,2016-08,81
South,2016-09,102
South,2016-10,77
South,2016-11,73
South,2016-12,60
South,2017-01,1563
South,2017-02,516
South,2017-03,401
South,2017-04,283
South,2017-05,187
South,2017-06,157
South,2017-07,200
South,2017-08,203
South,2017-09,136
South,2017-10,139
South,2017-11,117
South,2017-12,112
South,2018-01,157
South,2018-02,119
South,2018-03,135
South,2018-04,129
South,2018-05,125
South,2018-06,111
South,2018-07,119
South,2018-08,122
South,2018-09,107
South,2018-10,107
South,2018-11,98
South,2018-12,119
South,2019-01,142
South,2019-02,128
South,2019-03,116
South,2019-04,91
South,2019-05,65
South,2019-06,94
South,2019-07,82
South,2019-08,78
South,2019-09,60
South,2019-10,75
South,2019-11,65
South,2019-12,53
South,2020-01,63
South,2020-02,71
South,2020-03,58
South,2020-04,49
South,2020-05,46
South,2020-06,51
South,2020-07,36
South,2020-08,33
South,2020-09,22
South,2020-10,34
South,2020-11,34
South,2020-12,36
South,2021-01,39
South,2021-02,35
South,2021-03,43
South,2021-04,45
South,2021-05,29
South,2021-06,28
South,2021-07,49
South,2021-08,52
South,2021-09,39
South,2021-10,40
South,2021-11,45
South,2021-12,33
South,2022-01,76
South,2022-02,49
South,2022-03,57
South,2022-04,56
South,2022-05,51
South,2022-06,42
South,2022-07,43
South,2022-08,72
South,2022-09,63
South,2022-10,53
South,2022-11,35
South,2022-12,32
South,2023-01,30
South,2023-02,24
South,2023-03,30
South,2023-04,28
South,2023-05,27
South,2023-06,25
South,2023-07,36
South,2023-08,50
South,2023-09,38
South,2023-10,41
South,2023-11,38
South,2023-12,26
South,2024-01,33
South,2024-02,37
South,2024-03,38
South,2024-04,3
West,2012-03,48
West,2012-04,10
West,2012-05,12
West,2012-06,57
West,2012-07,15
West,2012-08,16
West,2012-09,16
West,2012-10,23
West,2012-11,19
West,2012-12,9
West,2013-01,16
West,2013-02,22
West,2013-03,20
West,2013-04,17
West,2013-05,17
West,2013-06,16
West,2013-07,22
West,2013-08,15
West,2013-09,31
West,2013-10,29
West,2013-11,20
West,2013-12,23
West,2014-01,30
West,2014-02,31
West,2014-03,26
West,2014-04,31
West,2014-05,40
West,2014-06,30
West,2014-07,31
West,2014-08,38
West,2014-09,28
West,2014-10,34
West,2014-11,24
West,2014-12,27
West,2015-01,33
West,2015-02,36
West,2015-03,34
West,2015-04,37
West,2015-05,22
West,2015-06,26
West,2015-07,31
West,2015-08,26
West,2015-09,38
West,2015-10,33
West,2015-11,11
West,2015-12,21
West,2016-01,29
West,2016-02,33
West,2016-03,68
West,2016-04,89
West,2016-05,62
West,2016-06,47
West,2016-07,37
West,2016-08,50
West,2016-09,63
West,2016-10,53
West,2016-11,43
West,2016-12,40
West,2017-01,681
West,2017-02,443
West,2017-03,238
West,2017-04,224
West,2017-05,129
West,2017-06,106
West,2017-07,118
West,2017-08,125
West,2017-09,90
West,2017-10,82
West,2017-11,78
West,2017-12,51
West,2018-01,84
West,2018-02,66
West,2018-03,99
