month,federal_student_loan_servicing_count_pc_west,federal_student_loan_servicing_count_pc_midwest,federal_student_loan_servicing_count_pc_south,federal_student_loan_servicing_count_pc_northeast
2012-03,0,0,0,0
2012-04,0,0,0,0
2012-05,0,0,0,0
2012-06,0,0,0,0
2012-07,0,0,0,0
2012-08,0,0,0,0
2012-09,0,0,0,0
2012-10,0,0,0,0
2012-11,0,0,0,0
2012-12,0,0,0,0
2013-01,0,0,0,0
2013-02,0,0,0,0
2013-03,0,0,0,0
2013-04,0,0,0,0
2013-05,0,0,0,0
2013-06,0,0,0,0
2013-07,0,0,0,0
2013-08,0,0,0,0
2013-09,0,0,0,0
2013-10,0,0,0,0
2013-11,0,0,0,0
2013-12,0,0,0,0
2014-01,0,0,0,0
2014-02,0,0,0,0
2014-03,0,0,0,0
2014-04,0,0,0,0
2014-05,0,0,0,0
2014-06,0,0,0,0
2014-07,0,0,0,0
2014-08,0,0,0,0
2014-09,0,0,0,0
2014-10,0,0,0,0
2014-11,0,0,0,0
2014-12,0,0,0,0
2015-01,0,0,0,0
2015-02,0,0,0,0
2015-03,0,0,0,0
2015-04,0,0,0,0
2015-05,0,0,0,0
2015-06,0,0,0,0
2015-07,0,0,0,0
2015-08,0,0,0,0
2015-09,0,0,0,0
2015-10,0,0,0,0
2015-11,0,0,0,0
2015-12,0,0,0,0
2016-01,0,0,0,0
2016-02,0.03859670163652202,0.029317033609897524,0.0481518431779215,0.03570350389367239
2016-03,0.5146226884869602,0.5423651217831041,0.5296702749571365,0.35703503893672395
2016-04,0.5660849573356563,0.5277066049781555,0.3932400526196922,0.7676253337139565
2016-05,0.45029485242609024,0.4250969873435141,0.3932400526196922,0.39273854283039633
2016-06,0.30877361309217616,0.35180440331877033,0.3049616734601695,0.3034797830962153
2016-07,0.3216391803043502,0.35180440331877033,0.3932400526196922,0.33918328698988776
2016-08,0.3859670163652202,0.36646292012371906,0.28891105906752895,0.3034797830962153
2016-09,0.46316041963826426,0.27851181929402646,0.4253412814049732,0.49984905451141354
2016-10,0.4374292852139162,0.17590220165938517,0.32101228785280994,0.4105902947772325
2016-11,0.30877361309217616,0.29317033609897525,0.26483513747856824,0.42844204672406877
2016-12,0.28304247866782817,0.21987775207423144,0.24878452308592772,0.33918328698988776
2017-01,5.90529535038787,6.317820742932916,8.940192216700758,9.300762764301659
2017-02,2.7403658161930635,2.360021205596751,2.768730982730486,2.463541768663395
2017-03,1.762582708067839,1.9935582854730316,2.062503949454304,2.3028760011418696
2017-04,1.7497171408556649,1.480510197299825,1.4285046809450044,2.1065067297266715
2017-05,0.8748585704278324,0.7475843570523868,0.9469862491657894,1.1068086207038441
2017-06,0.9263208392765285,0.7329258402474381,0.7222776476688224,0.821180589554465
2017-07,0.8748585704278324,0.9821206259315671,1.059340549914273,1.2317708843316975
2017-08,1.0421109441860947,0.7769013906622844,0.9710621707547501,1.1425121245975165
2017-09,0.7976651671547884,0.7182673234424894,0.6661004972945807,0.8390323415013012
2017-10,0.7076061966695704,0.5570236385880529,0.6018980397240187,1.178215628491189
2017-11,0.6175472261843523,0.5277066049781555,0.5938727325276985,0.6783665739797755
2017-12,0.4245637180017422,0.5277066049781555,0.5778221181350579,0.6426630700861031
2018-01,0.6561439278208744,0.7769013906622844,0.8025307196320249,0.803328837607629
2018-02,0.5274882556991343,0.5716821553930017,0.5858474253313782,0.5891078142455946
2018-03,0.7847995999426144,0.5863406721979505,0.7222776476688224,0.7319218298202841
2018-04,0.6175472261843523,0.7182673234424894,0.6339992685092997,0.7497735817671203
2018-05,0.5918160917600044,0.5423651217831041,0.609923346920339,0.4641455506177411
2018-06,0.45029485242609024,0.3811214369286678,0.46546781738657445,0.4819973025645774
2018-07,0.7076061966695704,0.7622428738573356,0.5457208893497769,0.5177008064582497
2018-08,0.5017571212747862,0.5130480881732067,0.5858474253313782,0.7854770856607927
2018-09,0.5017571212747862,0.33714588651382155,0.4333665886012934,0.4105902947772325
2018-10,0.5918160917600044,0.33714588651382155,0.5537461965460971,0.5177008064582497
2018-11,0.47602598685043823,0.5423651217831041,0.48151843177921494,0.6069595661924306
2018-12,0.6304127933965263,0.4104384705385653,0.6179486541166591,0.6426630700861031
2019-01,0.7204717638817444,0.6596332562226943,0.7463535692577832,0.6962183259266117
2019-02,0.6175472261843523,0.6596332562226943,0.6339992685092997,0.8390323415013012
2019-03,0.6175472261843523,0.6303162226127967,0.5055943533681757,0.7140700778734479
2019-04,0.45029485242609024,0.29317033609897525,0.41731597420865296,0.49984905451141354
2019-05,0.3731014491530462,0.4397555041484629,0.385214745423372,0.4641455506177411
2019-06,0.41169815078956823,0.35180440331877033,0.44139189579761373,0.35703503893672395
2019-07,0.4374292852139162,0.33714588651382155,0.4895437389755352,0.5534043103519221
2019-08,0.3602358819408722,0.33714588651382155,0.4253412814049732,0.37488679088356014
2019-09,0.2959080458800022,0.30782885290392403,0.32101228785280994,0.42844204672406877
2019-10,0.5918160917600044,0.3811214369286678,0.32101228785280994,0.5534043103519221
2019-11,0.3345047475165242,0.29317033609897525,0.32101228785280994,0.5177008064582497
2019-12,0.2573113442434801,0.27851181929402646,0.24878452308592772,0.21422102336203439
2020-01,0.3345047475165242,0.16124368485443638,0.32101228785280994,0.32133153504305156
2020-02,0.1672523737582621,0.3811214369286678,0.4253412814049732,0.39273854283039633
2020-03,0.30877361309217616,0.2345362688791802,0.3049616734601695,0.16066576752152578
2020-04,0.23158020981913213,0.21987775207423144,0.23273390869328722,0.2856280311493791
2020-05,0.2959080458800022,0.16124368485443638,0.25680983028224796,0.32133153504305156
2020-06,0.2187146426069581,0.1905607184643339,0.27286044467488846,0.17851751946836197
2020-07,0.20584907539478411,0.27851181929402646,0.22470860149696698,0.12496226362785338
2020-08,0.15438680654608808,0.2345362688791802,0.17655675831904546,0.14281401557468956
2020-09,0.1801179409704361,0.16124368485443638,0.12037960794480373,0.08925875973418099
2020-10,0.20584907539478411,0.16124368485443638,0.16853145112272525,0.39273854283039633
2020-11,0.14152123933391408,0.17590220165938517,0.18458206551536574,0.24992452725570677
2020-12,0.14152123933391408,0.13192665124453887,0.20063267990800623,0.32133153504305156
2021-01,0.24444577703130616,0.08795110082969258,0.2166832943006467,0.24992452725570677
2021-02,0.1929835081826101,0.14658516804948762,0.192607372711686,0.24992452725570677
2021-03,0.1929835081826101,0.1905607184643339,0.17655675831904546,0.3034797830962153
2021-04,0.20584907539478411,0.20521923526928265,0.192607372711686,0.21422102336203439
2021-05,0.06432783606087003,0.08795110082969258,0.16050614392640497,0.16066576752152578
2021-06,0.06432783606087003,0.13192665124453887,0.13643022233744423,0.10711051168101719
2021-07,0.1672523737582621,0.13192665124453887,0.20063267990800623,0.16066576752152578
2021-08,0.1801179409704361,0.16124368485443638,0.23273390869328722,0.267776279202543
2021-09,0.09005897048521805,0.14658516804948762,0.192607372711686,0.17851751946836197
2021-10,0.23158020981913213,0.13192665124453887,0.22470860149696698,0.16066576752152578
2021-11,0.12865567212174006,0.1172681344395901,0.27286044467488846,0.19636927141519817
2021-12,0.15438680654608808,0.16124368485443638,0.18458206551536574,0.17851751946836197
2022-01,0.2573113442434801,0.29317033609897525,0.2969363662638492,0.33918328698988776
2022-02,0.24444577703130616,0.29317033609897525,0.2166832943006467,0.24992452725570677
2022-03,0.10292453769739206,0.14658516804948762,0.20063267990800623,0.35703503893672395
2022-04,0.23158020981913213,0.21987775207423144,0.2969363662638492,0.3034797830962153
2022-05,0.12865567212174006,0.14658516804948762,0.18458206551536574,0.17851751946836197
2022-06,0.14152123933391408,0.14658516804948762,0.15248083673008475,0.16066576752152578
2022-07,0.14152123933391408,0.16124368485443638,0.15248083673008475,0.17851751946836197
2022-08,0.15438680654608808,0.26385330248907773,0.2166832943006467,0.33918328698988776
2022-09,0.11579010490956607,0.17590220165938517,0.22470860149696698,0.3034797830962153
2022-10,0.1672523737582621,0.16124368485443638,0.17655675831904546,0.2856280311493791
2022-11,0.11579010490956607,0.07329258402474381,0.096303686355843,0.08925875973418099
2022-12,0.07719340327304404,0.13192665124453887,0.12037960794480373,0.12496226362785338
2023-01,0.09005897048521805,0.08795110082969258,0.08827837915952273,0.16066576752152578
2023-02,0.10292453769739206,0.1172681344395901,0.08025307196320249,0.08925875973418099
2023-03,0.09005897048521805,0.07329258402474381,0.096303686355843,0.07140700778734478
2023-04,0.012865567212174007,0.10260961763464133,0.08025307196320249,0.03570350389367239
2023-05,0.025731134424348014,0.04397555041484629,0.08827837915952273,0.053555255840508596
2023-06,0.07719340327304404,0.04397555041484629,0.08025307196320249,0.03570350389367239
2023-07,0.07719340327304404,0.07329258402474381,0.14445552953376448,0.12496226362785338
2023-08,0.12865567212174006,0.1905607184643339,0.16050614392640497,0.14281401557468956
2023-09,0.11579010490956607,0.07329258402474381,0.08827837915952273,0.14281401557468956
2023-10,0.15438680654608808,0.08795110082969258,0.12840491514112398,0.24992452725570677
2023-11,0.12865567212174006,0.17590220165938517,0.10432899355216324,0.12496226362785338
2023-12,0.06432783606087003,0.04397555041484629,0.08025307196320249,0.14281401557468956
2024-01,0.10292453769739206,0.14658516804948762,0.12840491514112398,0.07140700778734478
2024-02,0.07719340327304404,0.07329258402474381,0.096303686355843,0.07140700778734478
2024-03,0.03859670163652202,0.04397555041484629,0.08025307196320249,0.10711051168101719
2024-04,0.05146226884869603,0,0.016050614392640498,0.017851751946836195
